OID_,SCALERANK,NATSCALE,LABELRANK,FEATURECLA,NAME,NAMEPAR,NAMEALT,DIFFASCII,NAMEASCII,ADM0CAP,CAPIN,WORLDCITY,MEGACITY,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,NOTE,LATITUDE,LONGITUDE,CHANGED,NAMEDIFF,DIFFNOTE,POP_MAX,POP_MIN,POP_OTHER,RANK_MAX,RANK_MIN,GEONAMEID,MEGANAME,LS_NAME,LS_MATCH,CHECKME,MAX_POP10,MAX_POP20,MAX_POP50,MAX_POP300,MAX_POP310,MAX_NATSCA,MIN_AREAKM,MAX_AREAKM,MIN_AREAMI,MAX_AREAMI,MIN_PERKM,MAX_PERKM,MIN_PERMI,MAX_PERMI,MIN_BBXMIN,MAX_BBXMIN,MIN_BBXMAX,MAX_BBXMAX,MIN_BBYMIN,MAX_BBYMIN,MIN_BBYMAX,MAX_BBYMAX,MEAN_BBXC,MEAN_BBYC,COMPARE,GN_ASCII,FEATURE_CL,FEATURE_CO,ADMIN1_COD,GN_POP,ELEVATION,GTOPO30,TIMEZONE,GEONAMESNO,UN_FID,UN_ADM0,UN_LAT,UN_LONG,POP1950,POP1955,POP1960,POP1965,POP1970,POP1975,POP1980,POP1985,POP1990,POP1995,POP2000,POP2005,POP2010,POP2015,POP2020,POP2025,POP2050,CITYALT,min_zoom,wikidataid,wof_id,CAPALT,NAME_EN,NAME_DE,NAME_ES,NAME_FR,NAME_PT,NAME_RU,NAME_ZH
,8,10,2,Populated place,Tangail, , ,0,Tangail,0.000000000000000, ,0.000000000000000,0,Bangladesh,BGD,Bangladesh,BGD,Dhaka,BD, ,24.249978453600001,89.920030475800004,0.000000000000000,0, ,180144,180144,6960486,9,9,1336144.000000000000000, ,Tangail,1,0,7013406.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,4556.000000000000000,4556.000000000000000,1759.000000000000000,1759.000000000000000,1872.000000000000000,1872.000000000000000,1163.000000000000000,1163.000000000000000,89.408040589999999,89.408040589999999,90.435181290000003,90.435181290000003,23.741666670000001,23.741666670000001,24.599311810000000,24.599311810000000,89.902306589999995,24.234833550000001,0,Tangail,P,PPL,0.000000000000000,180144.000000000000000,0.000000000000000,13.000000000000000,Asia/Dhaka,Geonames ascii name + lat.d + long.d matching.,0, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,7.0000000,Q2306321,421169689.000000000000000,0,Tangail, , ,Tangail, ,Тангайл, 
,8,10,2,Populated place,Sylhet, , ,0,Sylhet,0.000000000000000, ,0.000000000000000,0,Bangladesh,BGD,Bangladesh,BGD,Sylhet,BD, ,24.903556130999998,91.873606322200004,0.000000000000000,0, ,237000,237000,6513828,10,10,1185099.000000000000000, ,Sylhet,1,0,6480403.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,4437.000000000000000,4437.000000000000000,1713.000000000000000,1713.000000000000000,3986.000000000000000,3986.000000000000000,2477.000000000000000,2477.000000000000000,91.141666670000006,91.141666670000006,92.356983040000003,92.356983040000003,24.212888840000002,24.212888840000002,25.208333329999999,25.208333329999999,91.819480709999993,24.781320789999999,0,Sylhet,P,PPLA,86.000000000000000,237000.000000000000000,0.000000000000000,9.000000000000000,Asia/Dhaka,Geonames ascii name + lat.d + long.d matching.,0, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,7.0000000,Q466221,421168819.000000000000000,0,Sylhet,Sylhet,Sylhet,Sylhet,Sylhet,Силхет,錫爾赫特
,7,20,2,Populated place,Mymensingh, , ,0,Mymensingh,0.000000000000000, ,0.000000000000000,0,Bangladesh,BGD,Bangladesh,BGD,Dhaka,BD, ,24.750413023899998,90.380002399700004,0.000000000000000,0, ,330126,330126,8826256,10,10,1185162.000000000000000, ,Mymensingh,1,0,8924584.000000000000000,10041729.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,6870.000000000000000,7773.000000000000000,2652.000000000000000,3001.000000000000000,3003.000000000000000,3443.000000000000000,1866.000000000000000,2139.000000000000000,89.955461349999993,90.103935500000006,91.116666670000001,91.116666670000001,24.224348530000000,24.237697550000000,25.208333329999999,25.208333329999999,90.574988305000005,24.689513909999999,0,Mymensingh,P,PPL,0.000000000000000,330126.000000000000000,0.000000000000000,17.000000000000000,Asia/Dhaka,Geonames ascii name + lat.d + long.d matching.,0, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,6.6999998,Q1006303,421174957.000000000000000,0,Mymensingh,Maimansingh, ,Mymensingh,Mymensingh,Мименсингх, 
,7,20,2,Admin-1 capital,Jamalpur, , ,0,Jamalpur,0.000000000000000, ,0.000000000000000,0,Bangladesh,BGD,Bangladesh,BGD,Dhaka,BD, ,24.900429706800001,89.950002806599997,4.000000000000000,0,Changed feature class.,167900,167900,7585419,9,9,1185106.000000000000000, ,Jamalpur,1,0,4271641.000000000000000,5501767.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,3462.000000000000000,4116.000000000000000,1337.000000000000000,1589.000000000000000,1186.000000000000000,1502.000000000000000,737.000000000000000,933.000000000000000,89.658333330000005,89.658333330000005,90.298691230000003,90.298691230000003,24.207392519999999,24.568535300000001,25.583333329999999,25.583333329999999,89.940989904999995,24.939669745000000,0,Jamalpur,P,PPL,0.000000000000000,167900.000000000000000,0.000000000000000,12.000000000000000,Asia/Dhaka,GeoNames match with ascii name + lat + long whole numbers.,0, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,6.6999998,Q2039306,421199785.000000000000000,0,Jamalpur District, ,Jamalpur,Jamalpur, ,Джамалпур,杰马勒布尔县
,7,20,2,Populated place,Narayanganj, , ,0,Narayanganj,0.000000000000000, ,0.000000000000000,0,Bangladesh,BGD,Bangladesh,BGD,Dhaka,BD, ,23.620404479000001,90.499995075399994,4.000000000000000,0,Changed scale rank.,223622,223622,6528608,10,10,1185155.000000000000000, ,Narayanganj,1,0,4167202.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,1379.000000000000000,1379.000000000000000,533.000000000000000,533.000000000000000,678.000000000000000,678.000000000000000,422.000000000000000,422.000000000000000,90.258333329999999,90.258333329999999,90.882186559999994,90.882186559999994,23.416666670000001,23.416666670000001,23.889551860000001,23.889551860000001,90.620009850000002,23.643065490000001,0,Narayanganj,P,PPL,81.000000000000000,223622.000000000000000,0.000000000000000,4.000000000000000,Asia/Dhaka,Geonames ascii name + lat.d + long.d matching.,0, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,6.6999998,Q1990163,421181475.000000000000000,0,Narayanganj, ,Narayanganj,Narayanganj,Narayanganj,Нараянгандж,纳拉扬甘杰
,7,20,2,Populated place,Jessore, , ,0,Jessore,0.000000000000000, ,0.000000000000000,0,Bangladesh,BGD,Bangladesh,BGD,Khulna,BD, ,23.170431944800001,89.199971068300002,0.000000000000000,0, ,243987,243987,5374161,10,10,1336140.000000000000000, ,Jessore,1,0,5554294.000000000000000,5556612.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,4066.000000000000000,4096.000000000000000,1570.000000000000000,1582.000000000000000,3274.000000000000000,3317.000000000000000,2034.000000000000000,2061.000000000000000,88.816666670000004,88.816666670000004,89.797757169999997,89.797757169999997,22.675000000000001,22.675000000000001,23.600569499999999,23.600569499999999,89.235965535000005,23.252469385000001,0,Jessore,P,PPL,82.000000000000000,243987.000000000000000,0.000000000000000,15.000000000000000,Asia/Dhaka,Geonames ascii name + lat.d + long.d matching.,0, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,6.6999998,Q1688300,421168849.000000000000000,0,Jessore,Jessore, ,Jessore,Jessore,Джессор, 
,7,20,2,Admin-1 capital,Barisal, , ,0,Barisal,0.000000000000000, ,0.000000000000000,0,Bangladesh,BGD,Bangladesh,BGD,Barisal,BD, ,22.700408954899999,90.374989785699995,0.000000000000000,0, ,202242,202242,7953317,10,10,1336137.000000000000000, ,Barisal,1,0,6263330.000000000000000,6483685.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,4173.000000000000000,4319.000000000000000,1611.000000000000000,1668.000000000000000,0.000000000000000,3155.000000000000000,0.000000000000000,1960.000000000000000,89.883900780000005,89.883900780000005,90.616666670000001,90.616666670000001,22.074999999999999,22.074999999999999,23.213547490000000,23.222934299999999,90.288696014999999,22.654835805000001,0,Barisal,P,PPLA,85.000000000000000,202242.000000000000000,0.000000000000000,2.000000000000000,Asia/Dhaka,GeoNames match general.,0, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,6.0999999,Q747840,421175653.000000000000000,0,Barisal,Barishal,Barisal,Barisal,Barisal,Барисал,巴里薩爾
,7,20,2,Populated place,Comilla, , ,0,Comilla,0.000000000000000, ,0.000000000000000,0,Bangladesh,BGD,Bangladesh,BGD,Chittagong,BD, ,23.470413634200000,91.169980020099999,0.000000000000000,0, ,389411,389411,9617045,10,10,1185186.000000000000000, ,Comilla,1,0,9691173.000000000000000,15563903.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,4985.000000000000000,8533.000000000000000,1925.000000000000000,3295.000000000000000,1675.000000000000000,3671.000000000000000,1041.000000000000000,2281.000000000000000,90.658394770000001,90.739568980000001,91.575000000000003,91.691666670000004,22.741666670000001,22.741666670000001,23.755819890000001,24.536930680000001,91.144374865000003,23.376138395000002,0,Comilla,P,PPL,85.000000000000000,389411.000000000000000,0.000000000000000,12.000000000000000,Asia/Dhaka,Geonames ascii name + lat.d + long.d matching.,0, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,6.6999998,Q1006296,421175649.000000000000000,0,Comilla,Kumilla, ,Comilla, ,Комилла,庫米拉
,7,20,2,Populated place,Pabna, , ,0,Pabna,0.000000000000000, ,0.000000000000000,0,Bangladesh,BGD,Bangladesh,BGD,Rajshahi,BD, ,24.000381285600000,89.249993854699994,0.000000000000000,0, ,137888,137888,7418185,9,9,1336143.000000000000000, ,Pabna,1,0,3922570.000000000000000,6141583.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,3692.000000000000000,4986.000000000000000,1425.000000000000000,1925.000000000000000,891.000000000000000,1353.000000000000000,554.000000000000000,841.000000000000000,88.900845070000003,88.900845070000003,89.691666670000004,89.911943019999995,23.791666670000001,23.824999999999999,24.728450339999998,24.728450339999998,89.353397650000005,24.231922645000001,0,Pabna,P,PPL,0.000000000000000,137888.000000000000000,0.000000000000000,8.000000000000000,Asia/Dhaka,Geonames ascii name + lat.d + long.d matching.,0, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,6.6999998,Q1004048,421183747.000000000000000,0,Pabna, ,Pabna,Pabna,Pabna,Пабна, 
,7,20,2,Populated place,Nawabganj, , ,0,Nawabganj,0.000000000000000, ,0.000000000000000,0,Bangladesh,BGD,Bangladesh,BGD,Rajshahi,BD, ,24.580397561600002,88.349997109900002,0.000000000000000,0, ,142361,142361,9660341,9,9,1337240.000000000000000, ,Nawabganj,1,0,9883787.000000000000000,10770841.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,9358.000000000000000,10038.000000000000000,3613.000000000000000,3876.000000000000000,4456.000000000000000,5015.000000000000000,2769.000000000000000,3116.000000000000000,87.370839549999999,87.480736969999995,88.937766440000004,88.937766440000004,23.848984479999999,23.938194050000000,25.418392390000001,25.418392390000001,88.157650640000000,24.688207909999999,0,Nawabganj,P,PPL,0.000000000000000,142361.000000000000000,0.000000000000000,21.000000000000000,Asia/Dhaka,Geonames ascii name + lat.d + long.d matching.,0, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,6.6999998,Q7223092,421168853.000000000000000,0,Nawabganj (town), , ,Nawabganj, ,Навабгандж, 
